Церемония	Актриса	Фильм(ы)	Роль
85-я	Джессика Честейн	Цель номер один	Майя
85-я	Эммануэль Рива	Любовь	Анна Лоран
85-я	Кувенжаней Уоллис	Звери дикого Юга	Хашпаппи
85-я	Наоми Уоттс	Невозможное	Мария Беннетт
86-я	Кейт Бланшетт	Жасмин	Жанетт «Жасмин» Фрэнсис
86-я	Эми Адамс	Афера по-американски	Сидни Проссер
86-я	Сандра Буллок	Гравитация	Райан Стоун
86-я	Джуди Денч	Филомена	Филомена Ли
86-я	Мерил Стрип	Август: Графство Осейдж	Вайолет Уэстон
87-я	Джулианна Мур	Всё ещё Элис	Элис Хоуланд
87-я	Марион Котийяр	Два дня, одна ночь	Сандра
87-я	Фелисити Джонс	Теория всего	Джейн Хокинг
87-я	Розамунд Пайк	Исчезнувшая	Эми Эллиотт-Данн
87-я	Риз Уизерспун	Дикая	Шерил Стрэйд
88-я	Бри Ларсон	Комната	Джой «Ма» Ньюсом
88-я	Кейт Бланшетт	Кэрол	Кэрол Эйрд
88-я	Дженнифер Лоуренс	Джой	Джой Мангано
88-я	Шарлотта Рэмплинг	45 лет	Кейт Мерсер
88-я	Сирша Ронан	Бруклин	Эллис Лэйси
89-я	Эмма Стоун	Ла-Ла Ленд	Мия Долан
89-я	Изабель Юппер	Она	Мишель Леблан
89-я	Рут Негга	Лавинг	Милдред Лавинг
89-я	Натали Портман	Джеки	Жаклин Кеннеди
89-я	Мерил Стрип	Флоренс Фостер Дженкинс	Флоренс Фостер Дженкинс
90-я	Фрэнсис Макдорманд	Три билборда на границе Эббинга, Миссури	Милдред Хейз
90-я	Салли Хокинс	Форма воды	Элайза Эспозито
90-я	Марго Робби	Тоня против всех	Тоня Хардинг
90-я	Сирша Ронан	Леди Бёрд	Кристин Макферсон
90-я	Мерил Стрип	Секретное досье	Кэй Грэм
91-я	Оливия Колман	Фаворитка	королева Анна
91-я	Ялица Апарисио	Рома	Клео
91-я	Гленн Клоуз	Жена	Джоан Каслман
91-я	Леди Гага	Звезда родилась	Элли
91-я	Мелисса Маккарти	Сможете ли вы меня простить?	Ли Израэль
92-я	Рене Зеллвегер	Джуди	Джуди Гарленд
92-я	Синтия Эриво	Гарриет	Гарриет Табмен
92-я	Скарлетт Йоханссон	Брачная история	Николь Барбер
92-я	Сирша Ронан	Маленькие женщины	Джозефина «Джо» Марч
92-я	Шарлиз Терон	Скандал	Мегин Келли
93-я	Фрэнсис Макдорманд	Земля кочевников	Ферн
93-я	Андра Дей	Соединённые Штаты против Билли Холидей	Билли Холидей
93-я	Виола Дэвис	Ма Рейни: Мать блюза	Ма Рейни
93-я	Ванесса Кирби	Фрагменты женщины	Марта Вайсс
93-я	Кэри Маллиган	Девушка, подающая надежды	Кассандра «Кэсси» Томас
