Церемония	Актриса	Фильм(ы)	Роль
20-я	Сьюзен Хэйворд	Катастрофа: История женщины	Анжелика «Энджи» Эванс Конвей
20-я	Дороти Макгуайр	Джентльменское соглашение	Кэти Лэси
20-я	Розалинд Расселл	Траур к лицу Электре	Лавиния Мэннон
21-я	Джейн Уайман	Джонни Белинда	Белинда Макдональд
21-я	Ингрид Бергман	Жанна д’Арк	Жанна д’Арк
21-я	Оливия де Хэвилленд	Змеиная яма	Вирджиния Стюарт Каннингем
21-я	Айрин Данн	Я помню маму	Марта «Мама» Хэнсон
21-я	Барбара Стэнвик	Извините, ошиблись номером	Леона Стивенсон
22-я	Оливия де Хэвилленд	Наследница	Кэтрин Слопер
22-я	Джинн Крейн	Пинки	Патриция «Пинки» Джонсон
22-я	Сьюзен Хэйворд	Моё глупое сердце	Элоиз Уинтерс
22-я	Дебора Керр	Эдвард, мой сын	Эвелин Боулт
22-я	Лоретта Янг	Приходи в конюшню	сестра Маргарет
23-я	Джуди Холидей	Рождённая вчера	Эмма «Билли» Даун
23-я	Энн Бакстер	Всё о Еве	Ева Харрингтон
23-я	Бетт Дейвис	Всё о Еве	Марго Ченнинг
23-я	Элинор Паркер	В клетке	Мэри Аллен
23-я	Глория Свенсон	Бульвар Сансет	Норма Десмонд
24-я	Вивьен Ли	Трамвай „Желание“	Бланш Дюбуа
24-я	Кэтрин Хепбёрн	Африканская королева	Роуз Сейер
24-я	Элинор Паркер	Детективная история	Мэри Маклеод
24-я	Шелли Уинтерс	Место под солнцем	Элис Трипп
24-я	Джейн Уайман	Голубая вуаль	Луиза Мейсон
25-я	Ширли Бут	Вернись, малышка Шеба	Лола Делани
25-я	Джоан Кроуфорд	Внезапный страх	Мира Хадсон
25-я	Бетт Дейвис	Звезда	Маргарет Эллиот
25-я	Джули Харрис	На свадьбе	Фрэнсис «Фрэнки» Аддамс
25-я	Сьюзен Хэйворд	С песней в моём сердце	Джейн Фроман
26-я	Одри Хепбёрн	Римские каникулы	принцесса Анна
26-я	Лесли Карон	Лили	Лили Дюрье
26-я	Ава Гарднер	Могамбо	Элоиза Келли
26-я	Дебора Керр	Отныне и во веки веков	Карен Холмс
26-я	Мэгги Макнамара	Синяя луна	Пэтти О’Нилл
27-я	Грейс Келли	Деревенская девушка	Джорджи Элджин
27-я	Дороти Дэндридж	Кармен Джонс	Кармен Джонс
27-я	Джуди Гарленд	Звезда родилась	Эстер Блоджетт / Вики Лестер
27-я	Одри Хепбёрн	Сабрина	Сабрина Фэйрчайлд
27-я	Джейн Уайман	Великолепная одержимость	Хелен Филлипс
28-я	Анна Маньяни	Татуированная роза	Серафина Делла Роза
28-я	Сьюзен Хэйворд	Я буду плакать завтра	Лиллиан Рот
28-я	Кэтрин Хепбёрн	Лето	Джейн Хадсон
28-я	Дженнифер Джонс	Любовь — самая великолепная вещь на свете	доктор Хан Суйин
28-я	Элинор Паркер	Прерванная мелодия	Марджори Лоуренс
29-я	Ингрид Бергман	Анастасия	Анна Корева / великая княжна Анастасия
29-я	Кэрролл Бейкер	Куколка	«Куколка» Мейган
29-я	Кэтрин Хепбёрн	Продавец дождя	Лиззи Карри
29-я	Нэнси Келли	Дурная кровь	Кристин Пенмарк
29-я	Дебора Керр	Король и я	Анна Леонуэнс
30-я	Джоан Вудворд	Три лица Евы	Ева Уайт / Ева Блэк / Джейн
30-я	Дебора Керр	Бог знает, мистер Аллисон	сестра Анджела
30-я	Анна Маньяни	Дикий ветер	Джои
30-я	Элизабет Тейлор	Округ Рэйнтри	Сюзанна Дрейк
30-я	Лана Тёрнер	Пэйтон Плейс	Констанс Маккензи
31-я	Сьюзен Хэйворд	Я хочу жить!	Барбара Грэхэм
31-я	Дебора Керр	За отдельными столиками	Сибил Рейлтон-Белл
31-я	Ширли Маклейн	И подбежали они	Джинни Мурхед
31-я	Розалинд Расселл	Тётушка Мэйм	Мэйм Деннис
31-я	Элизабет Тейлор	Кошка на раскалённой крыше	Мегги Поллитт
32-я	Симона Синьоре	Путь наверх	Элис Эйсджилл
32-я	Дорис Дэй	Телефон пополам	Джен Морроу
32-я	Одри Хепбёрн	История монахини	сестра Люк (Габриэль ван дер Маль)
32-я	Кэтрин Хепбёрн	Внезапно, прошлым летом	миссис Вайолет Вэнейбл
32-я	Элизабет Тейлор	Внезапно, прошлым летом	Кэтрин Холли
33-я	Элизабет Тейлор	Баттерфилд, 8	Глория Вэндроуз
33-я	Грир Гарсон	Восход солнца в Кампобелло	Элеонора Рузвельт
33-я	Дебора Керр	Бродяги	Ида Кармоди
33-я	Ширли Маклейн	Квартира	Фрэн Кубелик
33-я	Мелина Меркури	Никогда в воскресенье	Илия
34-я	Софи Лорен	Чочара	Чезира
34-я	Одри Хепбёрн	Завтрак у Тиффани	Холли Голайтли
