Год/Церемония	Фильм	Кинокомпания(и)	Продюсер(ы)	Ссылки
2013	Любовь	Les Films du Losange, X Filme Creative Pool, Wega Film Production	Маргарет Менегоз, Штефан Арндт, Файт Хайдушка, Михаэль Кац	#cite_note-86
2013	Звери дикого Юга	Fox Searchlight Pictures	Дэн Джанви, Джош Пенн, Майкл Готтвальд	#cite_note-86
2013	Джанго освобождённый	The Weinstein Company, Columbia Pictures	Стейси Шер, Реджинальд Хадлин, Пилар Савон	#cite_note-86
2013	Отверженные	Universal Studios, Working Title Films	Тим Беван, Эрик Феллнер, Дебра Хэйуорд, Камерон Макинтош	#cite_note-86
2013	Жизнь Пи	20th Century Fox	Джил Неттер, Энг Ли, Дэвид Уомарк	#cite_note-86
2013	Линкольн	DreamWorks, Touchstone, 20th Century Fox	Стивен Спилберг, Кэтлин Кеннеди	#cite_note-86
2013	Мой парень — псих	The Weinstein Company	Донна Джильотти, Брюс Коэн, Джонатан Гордон	#cite_note-86
2013	Цель номер один	Columbia Pictures	Марк Боал, Кэтрин Бигелоу, Меган Эллисон	#cite_note-86
2014	12 лет рабства	Fox Searchlight Pictures	Брэд Питт, Деде Гарднер, Джереми Клейнер, Стив Маккуин, Энтони Катагас	#cite_note-87
2014	Афера по-американски	Columbia Pictures	Чарльз Ровен, Ричард Сакл, Меган Эллисон, Джонатан Гордон	#cite_note-87
2014	Капитан Филлипс	Columbia Pictures	Скотт Рудин, Дэна Брунетти, Майкл Де Лука	#cite_note-87
2014	Далласский клуб покупателей	Focus Features	Робби Бреннер, Рэйчел Винтер	#cite_note-87
2014	Гравитация	Warner Bros.	Альфонсо Куарон, Дэвид Хейман	#cite_note-87
2014	Она	Warner Bros.	Меган Эллисон, Спайк Джонз, Винсент Ландэй	#cite_note-87
2014	Небраска	Paramount Vantage	Альберт Бергер, Рон Йеркса	#cite_note-87
2014	Филомена	The Weinstein Company	Габриэлла Тана, Стив Куган, Трэйси Сиуорд	#cite_note-87
2014	Волк с Уолл-стрит	Paramount Pictures	Леонардо Ди Каприо, Мартин Скорсезе, Риза Азиз	#cite_note-87
2015	Бёрдмэн	Fox Searchlight Pictures	Алехандро Г. Иньярриту, Джон Лешер и Джеймс В. Скотчдопоул	#cite_note-88
2015	Снайпер	Warner Bros.	Клинт Иствуд, Роберт Лоренц, Эндрю Лазар, Брэдли Купер и Питер Морган	#cite_note-88
2015	Отрочество	IFC Films	Ричард Линклейтер и Кэтлин Сазерленд	#cite_note-88
2015	Отель „Гранд Будапешт“	Fox Searchlight Pictures	Уэс Андерсон, Скотт Рудин, Стивен Рэйлс, Джереми Доусон	#cite_note-88
2015	Игра в имитацию	The Weinstein Company	Нора Гроссман, Идо Островски, Тедди Шварцман	#cite_note-88
2015	Сельма	Paramount Pictures	Кристиан Колсон, Опра Уинфри, Деде Гарднер и Джереми Клейнер	#cite_note-88
2015	Теория всего	Universal Pictures	Тим Беван, Эрик Фелнер, Лиза Брюс, Энтони Маккартен	#cite_note-88
2015	Одержимость	Sony Pictures Classics	Джейсон Блум, Хелен Эстрабрук, Дэвид Ланкастер	#cite_note-88
2016	В центре внимания	Open Road Films, Anonymous Content, First Look Media, Participant Media, Rocklin / Faust	Майкл Шуга, Стив Голин, Николь Роклин и Блай Пэгон Фауст	nan
2016	Игра на понижение	Paramount Pictures	Брэд Питт, Деде Гарднер и Джереми Клейнер	nan
2016	Шпионский мост	Touchstone Pictures, DreamWorks, 20th Century Fox	Стивен Спилберг, Марк Э. Платт и Кристи Макоско Кригер	nan
2016	Бруклин	Fox Searchlight Pictures, Wildgaze Films, Parallel Film Productions, Irish Film Board, Item 7	Финола Двайер и Аманда Пози	nan
2016	Безумный Макс: Дорога ярости	Warner Bros., Kennedy Miller Productions	Даг Митчелл и Джордж Миллер	nan
2016	Марсианин	20th Century Fox	Саймон Кинберг, Ридли Скотт, Майкл Шефер и Марк Хаффам	nan
2016	Выживший	20th Century Fox, Regency Enterprises, Anonymous Content, RatPac Entertainment	Арнон Милчен, Стив Голин, Алехандро Г. Иньярриту, Мэри Пэрент и Кит Рэдмон	nan
2016	Комната	A24, Element Pictures, No Trace Camping	Эд Гини	nan
2017	Лунный свет	A24, Plan B Entertainment	Адель Романски, Деде Гарднер и Джереми Клейнер	nan
2017	Прибытие	Paramount Pictures, FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment	Шон Леви, Дэн Ливайн, Аарон Райдер и Дэвид Линд	nan
2017	Ограды	Paramount Pictures, Bron Creative, Macro Media, Scott Rudin Productions	Скотт Рудин, Дензел Вашингтон и Тодд Блэк	nan
2017	По соображениям совести	Summit Entertainment, Lionsgate, Pandemonium Films, Permut Productions, Vendian Entertainment, Kylin Pictures	Билл Микэник и Дэвид Пермут	nan
2017	Любой ценой	Lionsgate, Sidney Kimmel Entertainment	Карла Хэкен и Джули Йорн	nan
2017	Скрытые фигуры	20th Century Fox, Chernin Entertainment, Levantine Films	Донна Джильотти, Питер Чернин, Дженно Топпинг, Фаррелл Уильямс и Тед Мелфи	nan
2017	Ла-Ла Ленд	Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions	Фред Бергер, Джордан Хоровиц и Марк Платт	nan
2017	Лев	The Weinstein Company, See-Saw Films, Aquarius Films, Screen Australia, Sunstar Entertainment, Cross City	Эмиль Шерман, Иэн Каннинг и Энджи Филдер	nan
2017	Манчестер у моря	Roadside Attractions, Amazon Studios, K Period Media, B Story, CMP, Pearl Street Films	Мэтт Деймон, Кимберли Стюард, Крис Мур, Лорен Бек и Кевин Дж. Уолш	nan
2018	Форма воды	Fox Searchlight Pictures, TSG Entertainment, Double Dare You Productions	Гильермо дель Торо и Дж. Майлз Дэйл	nan
2018	Зови меня своим именем	Sony Pictures Classics, Frenesy Film Company, La Cinéfacture, RT Features, Water’s End Productions	Питер Спирс, Лука Гуаданьино, Эмили Жорж и Марко Морабито	nan
2018	Тёмные времена	Focus Features, Working Title, Perfect World Pictures	Тим Беван, Эрик Феллнер, Лиза Брюс, Энтони Маккартен и Дуглас Урбански	nan
2018	Дюнкерк	Warner Bros., Syncopy Inc.	Эмма Томас и Кристофер Нолан	nan
2018	Прочь	Universal Studios, Blumhouse Productions, Monkeypaw Productions, QC Entertainment	Шон Маккиттрик, Джейсон Блум, Эдвард Х. Хэмм мл. и Джордан Пил	nan
2018	Леди Бёрд	A24, Scott Rudin Productions, Management 360, IAC Films	Скотт Рудин, Эли Буш и Эвелин О’Нилл	nan
2018	Призрачная нить	Focus Features, Annapurna Pictures, Ghoulardi Film Company, Perfect World Pictures	Джоэнн Селлар, Пол Томас Андерсон, Меган Эллисон и Дэниэл Лупи	nan
2018	Секретное досье	20th Century Fox, Universal Studios, DreamWorks, Amblin Entertainment, Pascal Pictures, Participant Media	Эми Паскаль, Стивен Спилберг и Кристи Макоско Кригер	nan
2018	Три билборда на границе Эббинга, Миссури	Fox Searchlight Pictures, Blueprint Pictures, Film4 Productions, Cutting Edge Group	Грэм Бродбент, Пит Чернин и Мартин Макдонах	nan
2019	Зелёная книга		Джим Берк, Чарльз Б. Весслер, Брайан Карри, Питер Фаррелли и Ник Валлелонга	nan
2019	Чёрная Пантера		Кевин Файги	nan
2019	Чёрный клановец		Шон Маккиттрик, Джейсон Блум, Рэймонд Мэнсфилд, Джордан Пил и Спайк Ли	nan
2019	Богемская рапсодия		Грэм Кинг	nan
2019	Фаворитка		Сеси Демпси, Эд Гини, Ли Магидэй и Йоргос Лантимос	nan
2019	Рома		Габриела Родригес и Альфонсо Куарон	nan
2019	Звезда родилась		Билл Гербер, Брэдли Купер и Линетт Хауэлл Тейлор	nan
2019	Власть		Деде Гарднер, Джереми Клейнер, Адам Маккей и Кевин Дж. Мессик	nan
2020	Паразиты		Квак Щин-э и Пон Чжун Хо	nan
2020	Ford против Ferrari		Питер Чернин, Дженно Топпинг и Джеймс Мэнголд	nan
2020	Ирландец		Мартин Скорсезе, Роберт Де Ниро, Джейн Розенталь и Эмма Тиллинджер Коскофф	nan
2020	Кролик Джоджо		Кэртхью Нил и Тайка Вайтити	nan
2020	Джокер		Тодд Филлипс, Брэдли Купер и Эмма Тиллинджер Коскофф	nan
2020	Маленькие женщины		Эми Паскаль	nan
2020	Брачная история		Ноа Баумбах и Дэвид Хейман	nan
2020	1917		Сэм Мендес, Пиппа Харрис, Джейн‑Энн Тенггрен и Каллум Макдугалл	nan
2020	Однажды в Голливуде		Дэвид Хейман, Шеннон Макинтош и Квентин Тарантино	nan
